automaton,device,traverser,evaluator,layout,reference_impl,x_size,y_size,steps,rounds,warmup_rounds,x_tile_size,y_tile_size,cuda_block_size_x,cuda_block_size_y,seed,precision,average_time_ms,average_time_per_cell_ns,std_time_ms,rounds_had_same_checksums,checksum
wire,CUDA,spacial_blocking,standard,standard,,13440,13440,300,10,5,1,2,16,16,42,0,555.504321,3.075310,0.738616,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,,20160,20160,300,10,5,1,2,16,16,42,0,1251.299020,3.078790,1.985454,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,,6720,6720,300,10,5,1,4,16,16,42,0,140.076811,3.101899,0.163446,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,,13440,13440,300,10,5,1,4,16,16,42,0,555.656158,3.076151,0.945326,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,spacial_blocking,standard,standard,,20160,20160,300,10,5,1,4,16,16,42,0,1251.510613,3.079310,3.625812,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,,6720,6720,300,10,5,0,0,16,16,42,32,55.058892,1.219239,0.074527,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,,13440,13440,300,10,5,0,0,16,16,42,32,160.205735,0.886910,0.451276,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,,20160,20160,300,10,5,0,0,16,16,42,32,355.032895,0.873550,0.962897,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,,6720,6720,300,10,5,0,0,16,16,42,64,69.751555,1.544598,0.005208,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,,13440,13440,300,10,5,0,0,16,16,42,64,579.682299,3.209161,0.061458,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,bit_array,bit_array,,20160,20160,300,10,5,0,0,16,16,42,64,1069.795814,2.632206,1.490156,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,,6720,6720,300,10,5,0,0,16,16,42,32,3.563918,0.078920,0.003959,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,,13440,13440,300,10,5,0,0,16,16,42,32,13.449619,0.074458,0.006093,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,,20160,20160,300,10,5,0,0,16,16,42,32,78.857590,0.194027,0.076630,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,,6720,6720,300,10,5,0,0,16,16,42,64,2.973380,0.065843,0.001340,true,216-0-51-90-2599926-3656856-3648541-2602685-2594682-3643404-3656708-2602865-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,,13440,13440,300,10,5,0,0,16,16,42,64,10.611516,0.058746,0.006834,true,199-0-51-90-10451276-14674412-14664105-10461888-10449152-14663354-14666052-10465736-51-75-51-51
wire,CUDA,simple,bit_planes,bit_planes,,20160,20160,300,10,5,0,0,16,16,42,64,78.244577,0.192519,0.057379,true,216-0-35-90-23562914-33045264-33030688-23578376-23571981-33038336-33036795-23569426-51-75-51-51
greenberg-hastings,CUDA,,,,baseline,6720,6720,50,10,5,0,0,16,16,42,32,23.065782,0.510775,0.081025,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,,,,baseline,13440,13440,50,10,5,0,0,16,16,42,32,91.517561,0.506647,0.112230,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,,,,baseline,20160,20160,50,10,5,0,0,16,16,42,32,205.142900,0.504749,0.290133,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
greenberg-hastings,CUDA,simple,standard,standard,,6720,6720,50,10,5,0,0,16,16,42,0,23.164328,0.512957,0.096154,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
greenberg-hastings,CUDA,simple,standard,standard,,13440,13440,50,10,5,0,0,16,16,42,0,92.007258,0.509358,0.184255,true,27296278-27067914-26724107-26646700-27015856-26870925-26730280-26936768-27536716-27570163-26204485-27015763-26484181-26642212-27490894-27115616
greenberg-hastings,CUDA,simple,standard,standard,,20160,20160,50,10,5,0,0,16,16,42,0,206.434100,0.507926,0.285157,true,60442563-60250774-59825824-60602068-59777374-60918562-59564409-59238345-60053946-59780501-60671341-60205816-60187833-59902431-60541457-60791426
greenberg-hastings,CUDA,spacial_blocking,standard,standard,,6720,6720,50,10,5,1,1,16,16,42,0,23.138625,0.512388,0.108028,true,6877269-6776783-6594257-6724325-6530918-6806620-6933288-6708879-6460512-6780261-6809832-6770268-6609509-6909766-7133247-6472098
